CustomerID,Location,Product,Score,Feedback Text,SellerID,ManufacturerID,VendorID
C061,Kolkata,Product B,6.3,Product works fine for daily tasks but nothing exceptional.,S003,M002,V001
C062,Ahmedabad,Product B,5.6,"It’s okay overall, though some features are underused.",S002,M004,V003
C063,Chennai,Product A,8.8,Loved how fast and responsive the product feels. Very intuitive interface.,S002,M004,V003
C064,Hyderabad,Product C,6.1,Product works fine for daily tasks but nothing exceptional.,S005,M004,V005
C065,Delhi,Product C,5.6,Very satisfied with the reliability and design.,S002,M005,V003
C066,Kolkata,Product C,7.1,,S003,M004,V005
C067,Delhi,Product D,4.8,Affordable and delivers exactly what it promises.,S005,M002,V003
C068,Mumbai,Product E,8.7,Average experience. Didn't face any major issues.,S005,M002,V003
C069,Lucknow,Product C,4.4,Met expectations but lacks standout features.,S001,M003,V005
C070,Pune,Product D,9.7,Exceptional experience from purchase to usage.,S003,M005,V002
C071,Kolkata,Product B,8.5,Product works fine for daily tasks but nothing exceptional.,S005,M005,V003
C072,Hyderabad,Product C,5.2,,S002,M004,V005
C073,Pune,Product D,4.0,Support was slow and unhelpful. Wouldn’t recommend right now.,S004,M004,V002
C074,Delhi,Product C,8.7,Excellent support team. Issue resolved in under an hour!,S005,M005,V003
C075,Hyderabad,Product B,8.1,Affordable and delivers exactly what it promises.,S002,M002,V001
C076,Lucknow,Product A,8.2,Exceptional experience from purchase to usage.,S004,M004,V005
C077,Kolkata,Product D,8.5,,S004,M002,V002
C078,Mumbai,Product A,4.4,,S004,M002,V002
C079,Jaipur,Product D,6.1,,S001,M005,V002
C080,Delhi,Product D,4.7,,S002,M004,V005
C081,Lucknow,Product C,9.0,Serviceable but nothing exciting.,S004,M005,V005
C082,Ahmedabad,Product B,7.6,,S004,M004,V003
C083,Hyderabad,Product E,5.9,Average experience. Didn't face any major issues.,S004,M002,V003
C084,Chennai,Product C,4.4,Excellent support team. Issue resolved in under an hour!,S003,M003,V005
C085,Chennai,Product D,5.8,Average experience. Didn't face any major issues.,S002,M002,V001
C086,Jaipur,Product D,5.9,,S004,M001,V002
C087,Kolkata,Product E,8.2,Average experience. Didn't face any major issues.,S001,M005,V004
C088,Hyderabad,Product D,7.7,,S004,M005,V005
C089,Chennai,Product D,9.1,Met expectations but lacks standout features.,S002,M003,V004
C090,Pune,Product D,6.7,,S002,M004,V002
C091,Jaipur,Product A,4.7,,S004,M005,V005
C092,Delhi,Product D,8.1,Affordable and delivers exactly what it promises.,S002,M004,V002
C093,Pune,Product B,8.4,,S004,M003,V003
C094,Kolkata,Product C,7.3,Serviceable but nothing exciting.,S004,M003,V001
C095,Mumbai,Product C,8.5,,S002,M001,V001
C096,Chennai,Product B,6.9,Affordable and delivers exactly what it promises.,S001,M005,V002
C097,Delhi,Product E,7.0,,S002,M004,V003
C098,Bangalore,Product E,6.5,,S005,M001,V002
C099,Delhi,Product E,4.1,,S001,M003,V005
C100,Kolkata,Product D,4.6,,S002,M001,V005
